ID	Team	Rating	Avg opp Rating	PF	PA
844	                  WI Green Bay	2.778	2.865	73.519	65.630
819	                  UT Arlington	2.777	2.772	75.033	79.033
587	                    Evansville	2.768	2.875	68.129	72.452
709	                  North Dakota	2.766	2.513	73.000	75.645
630	                          IPFW	2.761	2.463	73.419	69.355
753	                     San Diego	2.752	3.047	65.733	65.933
852	                       Wyoming	2.752	2.991	64.633	61.967
749	                    S Illinois	2.747	2.832	66.000	66.688
765	                     SF Austin	2.747	2.387	75.839	63.032
744	                         Rider	2.743	2.832	73.936	76.581
847	                William & Mary	2.730	2.673	72.452	71.645
855	                 Youngstown St	2.714	2.780	74.724	75.759
826	                    Valparaiso	2.705	2.804	69.567	69.033
516	                   Arkansas St	2.700	2.654	75.867	73.133
835	                    W Kentucky	2.692	2.699	67.516	67.645
639	                          Kent	2.688	2.716	69.161	69.032
576	                        Drexel	2.682	2.855	68.800	67.333
757	                 Santa Barbara	2.681	2.815	70.714	66.357
534	                       Buffalo	2.678	2.755	73.286	67.571
575	                         Drake	2.666	2.877	67.067	68.867
760	                    SC Upstate	2.662	2.645	72.387	69.613
762	                SE Missouri St	2.661	2.464	80.900	79.800
615	                       Hofstra	2.658	2.744	68.485	73.152
712	                  Northeastern	2.658	2.837	65.906	68.719
591	                 FL Gulf Coast	2.658	2.584	71.875	67.813
851	                     Wright St	2.657	2.689	66.469	63.656
723	                  Old Dominion	2.626	2.753	63.424	64.455
532	                        Bryant	2.623	2.535	73.194	72.548
513	               Ark Little Rock	2.619	2.723	70.333	74.633
574	                       Detroit	2.618	2.847	69.200	72.200
785	                   Stony Brook	2.612	2.408	71.563	66.313
724	                  Oral Roberts	2.603	2.582	71.419	69.936
711	                   North Texas	2.591	2.711	69.167	72.300
661	                      Marshall	2.586	2.767	69.194	72.290
669	                      Miami OH	2.577	2.902	65.333	69.833
564	                  CS Fullerton	2.575	2.725	67.484	71.452
804	                   TX Southern	2.572	2.354	75.063	72.969
659	                        Marist	2.572	2.894	68.355	72.032
572	                        Denver	2.570	2.669	65.533	64.267
710	                 North Florida	2.569	2.696	70.633	74.833
582	                  E Washington	2.569	2.565	75.621	76.793
530	                       Bradley	2.561	2.832	63.625	66.031
679	                   Monmouth NJ	2.561	2.823	69.000	73.063
616	                    Holy Cross	2.548	2.548	66.969	65.094
751	                Sam Houston St	2.541	2.351	73.871	71.065
792	                Tennessee Tech	2.528	2.577	70.065	73.581
697	                      NE Omaha	2.528	2.574	79.000	77.000
683	                     Morgan St	2.524	2.548	71.452	72.226
529	                 Bowling Green	2.522	2.878	61.452	64.710
801	                        Tulane	2.520	2.700	63.781	70.094
833	                    W Carolina	2.520	2.445	73.000	73.323
583	                 East Carolina	2.518	2.687	70.793	72.035
694	                    NC Central	2.512	2.313	72.226	59.258
538	                  Cal Poly SLO	2.509	3.005	62.000	64.733
828	                       Vermont	2.509	2.502	70.567	60.933
558	                      Columbia	2.507	2.516	67.100	62.967
654	                Loyola-Chicago	2.505	2.773	65.226	68.839
590	                   FL Atlantic	2.505	2.823	65.100	69.800
748	                   S Dakota St	2.504	2.631	71.571	69.500
548	                    Chicago St	2.499	2.693	68.833	76.867
814	                 UNC Asheville	2.490	2.520	76.931	78.241
585	                          Elon	2.485	2.633	71.655	71.172
646	                      Lipscomb	2.484	2.627	75.448	78.517
644	                        Lehigh	2.475	2.574	66.281	68.969
509	                 American Univ	2.471	2.526	63.938	58.625
517	                          Army	2.460	2.479	72.533	74.033
589	                     Fairfield	2.452	2.882	63.438	70.000
677	                   Missouri KC	2.445	2.783	69.276	76.345
563	                CS Bakersfield	2.444	2.603	68.323	68.903
642	                     Lafayette	2.438	2.519	71.100	75.367
776	                 St Francis NY	2.432	2.559	68.516	67.258
690	                    N Illinois	2.432	2.796	60.677	62.936
832	                           VMI	2.429	2.369	83.222	82.704
713	              Northern Arizona	2.427	2.539	66.484	68.710
734	                  Prairie View	2.424	2.483	68.546	77.273
688	                    N Colorado	2.414	2.432	72.379	70.172
533	                      Bucknell	2.413	2.580	65.900	64.067
687	                     Murray St	2.412	2.631	76.259	73.444
848	                      Winthrop	2.408	2.406	72.033	71.900
838	                        Wagner	2.405	2.574	71.400	68.500
502	                     Air Force	2.405	2.964	64.571	70.357
736	                     Princeton	2.405	2.504	71.185	64.815
507	                     Albany NY	2.400	2.352	66.031	63.844
560	                     Coppin St	2.397	2.548	68.871	74.968
537	                    C Michigan	2.396	2.699	69.586	75.690
842	                      Weber St	2.392	2.537	71.893	68.143
611	                      Hartford	2.381	2.411	65.515	65.970
733	                   Portland St	2.381	2.464	71.655	72.966
553	                   Coastal Car	2.374	2.435	70.533	69.033
740	                       Radford	2.372	2.328	75.933	74.867
555	                       Colgate	2.369	2.520	69.300	67.733
554	                Col Charleston	2.364	2.746	62.839	62.968
806	                      UC Davis	2.363	2.696	69.000	78.793
601	                  Gardner Webb	2.358	2.475	71.233	71.667
594	                  Florida Intl	2.355	2.753	67.536	71.357
622	                    IL Chicago	2.355	2.810	65.379	73.172
610	                       Hampton	2.354	2.363	73.233	70.267
756	                   San Jose St	2.336	3.024	61.310	72.310
728	                          Penn	2.332	2.689	68.250	74.821
633	                  Jacksonville	2.326	2.639	72.929	79.929
635	                 James Madison	2.318	2.680	63.258	68.710
768	                 South Alabama	2.316	2.768	67.393	71.964
584	                  Edwardsville	2.316	2.575	71.897	77.172
782	                    St Peter's	2.312	2.786	63.258	65.871
519	                   Austin Peay	2.304	2.559	75.357	80.071
823	                   Utah Valley	2.303	2.656	65.690	66.035
680	                       Montana	2.302	2.522	69.964	69.250
797	                     TN Martin	2.297	2.599	73.448	82.069
787	                TAM C. Christi	2.292	2.500	68.400	67.500
763	                       Seattle	2.290	2.636	70.464	72.214
691	                    N Kentucky	2.284	2.635	68.133	73.700
800	                          Troy	2.281	2.597	67.069	70.345
547	                   Chattanooga	2.281	2.412	72.759	75.345
750	                  Sacred Heart	2.280	2.520	69.742	76.710
648	                   Long Island	2.276	2.565	71.724	79.828
545	                 Charleston So	2.274	2.564	76.333	75.852
854	                          Yale	2.258	2.558	65.815	66.778
791	                  Tennessee St	2.257	2.713	67.345	75.172
808	                  UC Riverside	2.255	2.634	66.897	72.207
588	                   F Dickinson	2.255	2.667	68.690	75.862
803	               TX Pan American	2.253	2.585	64.742	70.968
707	                    Norfolk St	2.252	2.379	68.733	69.267
520	                       Ball St	2.247	2.867	64.286	75.107
593	                   Florida A&M	2.234	2.366	69.233	73.967
770	                  South Dakota	2.233	2.633	66.889	73.148
773	                 Southern Univ	2.231	2.536	68.241	64.517
632	                    Jackson St	2.226	2.444	65.839	68.742
816	                UNC Wilmington	2.222	2.815	62.200	70.167
752	                       Samford	2.219	2.389	69.767	77.267
544	                  Central Conn	2.215	2.474	70.069	77.103
531	                         Brown	2.210	2.422	70.704	67.889
820	                UT San Antonio	2.208	2.744	68.185	78.259
600	                   Ga Southern	2.202	2.316	68.290	71.129
815	                UNC Greensboro	2.194	2.523	69.069	75.276
664	                    McNeese St	2.186	2.553	66.828	75.966
657	                         Maine	2.184	2.457	70.714	83.571
614	                    High Point	2.179	2.461	69.393	72.250
621	                      Idaho St	2.176	2.547	69.556	71.259
566	                 CS Sacramento	2.169	2.489	68.286	70.786
631	                         IUPUI	2.167	2.612	63.172	76.138
681	                    Montana St	2.145	2.455	65.207	70.069
653	                     Loyola MD	2.145	2.605	64.483	71.828
609	                  Grand Canyon	2.139	2.654	70.462	73.385
850	                       Wofford	2.125	2.486	65.414	63.138
784	                       Stetson	2.121	2.585	61.807	72.645
643	                         Lamar	2.118	2.409	66.700	77.267
685	                  MS Valley St	2.116	2.487	68.862	81.586
693	                        NC A&T	2.098	2.372	64.452	73.484
645	                       Liberty	2.084	2.384	68.966	71.759
777	                 St Francis PA	2.084	2.534	61.807	69.355
579	                    E Illinois	2.082	2.591	66.929	74.250
618	                   Houston Bap	2.073	2.521	65.828	77.828
742	                          Rice	2.073	2.775	61.250	70.250
638	                      Kennesaw	2.073	2.669	63.828	75.931
812	                           ULM	2.071	2.887	63.615	68.846
542	                 Cent Arkansas	2.067	2.446	71.667	82.370
795	                      Texas St	2.057	2.735	60.379	66.724
514	                Ark Pine Bluff	2.056	2.542	62.897	71.379
705	                   Nicholls St	2.037	2.369	67.821	73.286
634	               Jacksonville St	2.029	2.563	63.828	70.655
813	                          UMBC	2.016	2.384	64.966	72.621
506	                    Alabama St	2.010	2.249	69.893	70.607
761	                  SE Louisiana	2.007	2.384	67.929	73.321
619	                        Howard	2.003	2.461	60.258	71.807
561	                       Cornell	2.001	2.595	63.630	79.259
759	                   Savannah St	2.000	2.546	60.267	64.467
567	                     Dartmouth	1.986	2.419	65.923	67.539
649	                      Longwood	1.964	2.496	66.893	81.643
524	                    Binghamton	1.963	2.379	61.333	71.333
540	                      Campbell	1.960	2.368	66.250	72.964
735	                  Presbyterian	1.931	2.405	63.833	77.033
665	                    MD E Shore	1.926	2.412	65.679	76.107
550	                       Citadel	1.924	2.392	64.241	75.103
747	                 S Carolina St	1.894	2.434	62.000	73.250
523	               Bethune-Cookman	1.882	2.382	61.433	70.767
703	                   New Orleans	1.867	2.514	69.833	79.333
505	                   Alabama A&M	1.863	2.358	63.821	67.107
834	                    W Illinois	1.863	2.538	59.482	64.296
692	                          Navy	1.853	2.438	59.379	65.862
656	                     MA Lowell	1.839	2.461	60.926	70.111
508	                     Alcorn St	1.818	2.368	61.929	68.607
608	                     Grambling	1.817	2.434	65.407	80.963
774	                 Southern Utah	1.808	2.582	58.036	74.750
706	                          NJIT	1.786	2.367	68.680	73.720
571	                   Delaware St	1.782	2.504	59.571	66.107
700	                 New Hampshire	1.769	2.364	56.586	64.655
510	                Appalachian St	1.758	2.463	64.154	72.346
598	                        Furman	1.755	2.410	63.222	73.259
501	                   Abilene Chr	1.433	2.559	63.143	78.619
856	                Incarnate Word	1.195	2.189	76.800	74.533
